ad_id,total_area,ceiling_height,room_count,room_isolate,room_adjacent,room_both_variant,metro_time_minutes,transport_walk,transport_car,metro_station_encoded,flat,flat_all,type_bilding,parking_num,price_rent,deposit,prepayment_cnt_mon,commun_incl,renovation_num,balcony_count,loggia_count,windows_view_num,union_bath_num,split_bath_num,pass_elev,gruz_elev,garbage_chute_num,with_children,with_pets,dishwasher,bathtub,refrigerator,phone,kitchen_furniture,furniture_in_rooms,internet,washing_machine,air_conditioner,tv,shower_cabin,street_house_encoded,price_log,price_log_scaled
274886476,30.0,2.8,1,0,0,0,5,1,0,19,5,22,0,4,67000.0,1.0,1.0,1.0,4,1,0,2,1,0,1,1,2,0,0,1,0,1,0,1,1,1,1,1,0,1,244,11.112462823634855,0.12786470707840117
274685726,55.0,2.7,2,0,0,0,10,1,0,19,17,19,0,0,68000.0,1.0,1.0,1.0,4,0,1,2,1,0,1,0,2,0,0,0,0,1,0,1,1,1,1,0,1,1,585,11.127277689932466,0.1492002408335423
273136402,57.0,2.7,2,1,0,0,15,1,0,19,2,14,5,0,70000.0,1.0,2.0,1.0,0,0,0,2,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,847,11.156264806643742,0.19094584924024
270039587,32.0,2.8,1,0,0,0,8,1,0,19,10,22,1,4,70000.0,1.0,1.0,1.0,0,1,0,2,1,0,1,1,2,1,0,0,1,0,0,0,1,1,1,1,0,0,244,11.156264806643742,0.19094584924024
274353798,40.0,2.975,1,1,0,0,0,1,0,254,23,30,1,4,70000.0,1.0,1.0,1.0,3,0,0,2,1,0,1,1,2,1,0,1,1,1,0,1,1,1,1,1,0,0,1300,11.156264806643742,0.19094584924024
268446713,52.0,3.0,2,1,0,0,20,1,0,192,3,28,2,4,70000.0,1.0,1.0,1.0,4,0,1,2,1,0,1,1,2,0,0,1,1,1,0,1,1,1,1,1,0,0,1623,11.156264806643742,0.19094584924024
274815833,42.0,2.975,2,0,1,0,1,1,0,254,15,30,0,4,70000.0,1.0,1.0,1.0,3,0,0,1,1,0,1,1,2,1,0,1,1,1,1,1,1,1,1,0,1,0,1300,11.156264806643742,0.19094584924024
273532201,43.0,2.8,2,0,0,1,5,1,0,19,3,33,1,4,73000.0,1.0,1.0,1.0,0,1,0,2,1,0,1,1,2,1,0,1,0,0,0,0,0,1,1,0,0,0,244,11.19822841866684,0.25137947333246935
274505063,75.0,2.7,2,0,0,1,17,1,0,19,6,12,5,2,75000.0,1.0,1.0,1.0,4,0,1,2,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,847,11.225256725762893,0.2903041147573574
274772661,92.0,2.7,2,1,0,0,15,1,0,192,21,25,2,4,75000.0,1.0,1.0,1.0,3,0,1,2,0,1,1,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0,1373,11.225256725762893,0.2903041147573574
